Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Mid-length skirt Comme Des Garcons Black size XS International in Synthetic - 41989315,2024-03-06,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-synthetic-comme-des-garcons-skirt-41989315-1_1.jpg",Women,Clothing,Skirts,Comme Des Garcons,Very good condition,Synthetic,Black,XS International,Vestiaire Collective United States,41989315,$195,$185.25,https://www.vestiairecollective.com/women-clothing/skirts/comme-des-garcons/black-synthetic-comme-des-garcons-skirt-41989315.shtml
Jacket Craig Green Black size L International in Cotton - 40712623,2024-01-25,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-cotton-craig-green-jacket-40712623-1_2.jpg",Men,Clothing,Jackets,Craig Green,Very good condition,Cotton,Black,L International,"United States, from the seller Freddy",40712623,$495,$440,https://www.vestiairecollective.com/men-clothing/jackets/craig-green/black-cotton-craig-green-jacket-40712623.shtml
Boston leather bowling bag Gucci Beige in Leather - 42536475,2024-03-24,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/beige-leather-boston-gucci-handbag-42536475-1_2.jpg",Women,Bags,Handbags,Gucci,Boston,Very good condition,Leather,Beige,Vintage,"United States, from the seller KingLouiie",$715,$632.50,https://www.vestiairecollective.com/women-bags/handbags/gucci/beige-leather-boston-gucci-handbag-42536475.shtml
Gg marmont leather crossbody bag Gucci Red in Leather - 41057296,2024-02-04,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/red-leather-gg-marmont-gucci-handbag-41057296-1_2.jpg",Women,Bags,Handbags,Gucci,GG Marmont,Very good condition,Leather,Red,"United States, from the seller Jill",41057296,"$1,072.50",$990,https://www.vestiairecollective.com/women-bags/handbags/gucci/red-leather-gg-marmont-gucci-handbag-41057296.shtml
Chanel 19 leather card wallet Chanel Black in Leather - 40635909,2024-01-23,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-chanel-19-chanel-purse-40635909-1_3.jpg",Women,Accessories,"Purses, wallets & cases",Chanel,Chanel 19,"Never worn, with tag",Leather,Black,"United States, from the seller S",40635909,$770,$756.80,https://www.vestiairecollective.com/women-accessories/purses-wallets-cases/chanel/black-leather-chanel-19-chanel-purse-40635909.shtml
Cassette leather handbag Bottega Veneta Green in Leather - 42758009,2024-03-29,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-cassette-bottega-veneta-handbag-42758009-1_2.jpg",Women,Bags,Handbags,Bottega Veneta,Cassette,Never worn,Leather,Green,"United States, from the seller Mideystyle",42758009,$748,,https://www.vestiairecollective.com/women-bags/handbags/bottega-veneta/green-leather-cassette-bottega-veneta-handbag-42758009.shtml
Low trainers Bottega Veneta Beige size 44 EU in Rubber - 42692201,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/beige-rubber-bottega-veneta-trainers-42692201-1_2.jpg",Men,Shoes,Trainers,Bottega Veneta,Never worn,Rubber,Beige,44 EU,"United States, from the seller Mojisola",42692201,$275,,https://www.vestiairecollective.com/men-shoes/trainers/bottega-veneta/beige-rubber-bottega-veneta-trainers-42692201.shtml
Timeless/classique leather crossbody bag Chanel Gold in Leather - 42757723,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-leather-timeless-classique-chanel-handbag-42757723-1_2.jpg",Women,Bags,Handbags,Chanel,Timeless/Classique,Good condition,Leather,Gold,Vintage,"United States, from the seller emily","$3,294.50",,https://www.vestiairecollective.com/women-bags/handbags/chanel/gold-leather-timeless-classique-chanel-handbag-42757723.shtml
Cc earrings Chanel Gold in Gold plated - 41709457,2024-02-26,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-gold-plated-cc-chanel-earrings-41709457-1_3.jpg",Women,Jewellery,Earrings,Chanel,CC,Very good condition,Gold plated,Gold,Vintage,"United States, from the seller Alisa",$467.50,$465.30,https://www.vestiairecollective.com/women-jewellery/earrings/chanel/gold-gold-plated-cc-chanel-earrings-41709457.shtml
Cloth biker boots Chanel Grey size 37 EU in Cloth - 42758285,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-cloth-chanel-boots-42758285-1_2.jpg",Women,Shoes,Boots,Chanel,"Never worn, with tag",Cloth,Grey,37 EU,"United States, from the seller olga",42758285,$715,,https://www.vestiairecollective.com/women-shoes/boots/chanel/grey-cloth-chanel-boots-42758285.shtml
