Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Patent leather ballet flats Gucci White size 12 US in Patent leather ,2024-02-22,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-patent-leather-gucci-ballet-flats-41644728-1_2.jpg",Kids,Shoes,Ballet flats,Gucci,Good condition,Patent leather,White,12 US,"United States, from the seller Hotter Cooler",41644728,$132,,https://www.vestiairecollective.com/kids-shoes/ballet-flats/gucci/white-patent-leather-gucci-ballet-flats-41644728.shtml
Tote Prada Other in Polyester ,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/other-polyester-prada-handbag-42802011-1_3.jpg",Women,Bags,Handbags,Prada,Very good condition,Polyester,Other,"Denmark, from the seller Valdemar",42802011,,$265.95,,https://www.vestiairecollective.com/women-bags/handbags/prada/other-polyester-prada-handbag-42802011.shtml
Saddle leather wallet Dior Brown in Leather ,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-saddle-dior-wallet-42812854-1_2.jpg",Women,Accessories,Wallets,Dior,Saddle,Good condition,Leather,Brown,"United States, from the seller Mary Joy",42812854,$198,,https://www.vestiairecollective.com/women-accessories/wallet/dior/brown-leather-saddle-dior-wallet-42812854.shtml
Diana bamboo leather tote Gucci Grey in Leather ,2024-02-26,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-diana-bamboo-gucci-handbag-41749071-1_2.jpg",Women,Bags,Handbags,Gucci,Diana Bamboo,Very good condition,Leather,Grey,Vintage,"United States, from the seller BGFY",$489.50,,https://www.vestiairecollective.com/women-bags/handbags/gucci/grey-leather-diana-bamboo-gucci-handbag-41749071.shtml
Seamaster watch Omega Gold in Gold plated ,2024-03-29,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-gold-plated-seamaster-omega-watch-42774270-1_2.jpg",Women,Accessories,Watches,Omega,Seamaster,Very good condition,Gold plated,Steel,Manual winding,Gold,$368.50,,https://www.vestiairecollective.com/women-accessories/watches/omega/gold-gold-plated-seamaster-omega-watch-42774270.shtml
Leather crossbody bag Yves Saint Laurent Brown in Leather ,2024-03-06,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-rive-gauche-yves-saint-laurent-handbag-42055182-1_1.jpg",Women,Bags,Handbags,Yves Saint Laurent,Rive Gauche,Good condition,Leather,Brown,Vintage,Vestiaire Collective United States,$360,,https://www.vestiairecollective.com/women-bags/handbags/yves-saint-laurent/brown-leather-rive-gauche-yves-saint-laurent-handbag-42055182.shtml
Cloth hat Gucci Black size L International in Cloth ,2024-03-02,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-cloth-gucci-hat-41838110-1_4.jpg",Men,Accessories,Hats & pull on hats,Gucci,Never worn,Cloth,Black,L International,"United States, from the seller faith",41838110,$306.90,$214.50,https://www.vestiairecollective.com/men-accessories/hats-pull-on-hats/gucci/black-cloth-gucci-hat-41838110.shtml
Cloth hat Gucci X Adidas Green size 58 cm in Cloth ,2024-03-29,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-cloth-gucci-x-adidas-hat-42755265-1_2.jpg",Men,Accessories,Hats & pull on hats,Gucci X Adidas,"Never worn, with tag",Cloth,Green,58 cm,"United States, from the seller Lux",42755265,$544.50,,https://www.vestiairecollective.com/men-accessories/hats-pull-on-hats/gucci-x-adidas/green-cloth-gucci-x-adidas-hat-42755265.shtml
Yellow gold pendant Tiffany & Co Gold in Yellow gold ,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-yellow-gold-tiffany-co-pendant-42806476-1_3.jpg",Women,Jewellery,Pendants,Tiffany & Co,Never worn,Yellow gold,Gold,"Spain, from the seller Gala",42806476,,"$5,448.24","$5,059.08",https://www.vestiairecollective.com/women-jewellery/pendants/tiffany-co/gold-yellow-gold-tiffany-co-pendant-42806476.shtml
Leather crossbody bag Gucci Brown in Leather ,2024-03-02,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-gucci-handbag-41924557-1_2.jpg",Women,Bags,Handbags,Gucci,Very good condition,Leather,Brown,Vintage,"United States, from the seller Golden Bear Boutique",41924557,$400,$340,https://www.vestiairecollective.com/women-bags/handbags/gucci/brown-leather-gucci-handbag-41924557.shtml
